Date,Day of week,Temperature (°C),Humidity (%),Weather condition,Previous electricity consumption (kWh),Previous day's consumption (kWh),Previous week's consumption (kWh),Month,Weekend/weekday,Number of people at home,Appliance usage (kWh)
2025-01-30,Thursday,25.9,71.5,Pleasant,8.49,9.34,11.6,January,Weekday,4,18.0
2025-01-31,Friday,29.3,63.3,Cloudy,8.77,8.49,9.2,January,Weekday,2,18.0
2025-02-01,Saturday,26.2,64.9,Cloudy,9.01,8.77,8.26,February,Weekend,4,18.0
2025-02-02,Sunday,26.0,83.1,Rainy,7.95,9.01,9.57,February,Weekend,3,18.0
2025-02-03,Monday,25.4,66.1,Pleasant,6.8,7.95,7.87,February,Weekday,4,18.0
2025-02-04,Tuesday,28.2,67.2,Cloudy,10.17,6.8,8.16,February,Weekday,4,18.0
2025-02-05,Wednesday,29.3,82.0,Cloudy,9.04,10.17,9.34,February,Weekday,2,18.0
2025-02-06,Thursday,26.8,87.5,Rainy,7.59,9.04,8.49,February,Weekday,2,18.0
2025-02-07,Friday,25.3,67.2,Pleasant,8.07,7.59,8.77,February,Weekday,4,18.0
2025-02-08,Saturday,25.4,71.4,Pleasant,9.05,8.07,9.01,February,Weekend,3,18.0
2025-02-09,Sunday,28.3,75.1,Cloudy,8.9,9.05,7.95,February,Weekend,1,18.0
2025-02-10,Monday,28.5,82.1,Rainy,10.45,8.9,6.8,February,Weekday,5,18.0
2025-02-11,Tuesday,28.1,68.7,Cloudy,10.64,10.45,10.17,February,Weekday,4,18.0
2025-02-12,Wednesday,25.7,72.5,Pleasant,9.01,10.64,9.04,February,Weekday,3,18.0
2025-02-13,Thursday,27.5,77.8,Cloudy,9.29,9.01,7.59,February,Weekday,3,18.0
2025-02-14,Friday,27.2,76.2,Cloudy,10.91,9.29,8.07,February,Weekday,5,18.0
2025-02-15,Saturday,27.4,72.3,Cloudy,11.32,10.91,9.05,February,Weekend,4,18.0
2025-02-16,Sunday,28.7,73.6,Cloudy,13.4,11.32,8.9,February,Weekend,6,18.0
2025-02-17,Monday,27.4,67.6,Cloudy,9.8,13.4,10.45,February,Weekday,4,18.0
2025-02-18,Tuesday,28.4,73.4,Cloudy,10.46,9.8,10.64,February,Weekday,4,18.0
2025-02-19,Wednesday,27.1,73.4,Cloudy,9.73,10.46,9.01,February,Weekday,4,18.0
2025-02-20,Thursday,27.6,76.0,Cloudy,9.47,9.73,9.29,February,Weekday,5,18.0
2025-02-21,Friday,28.3,72.2,Cloudy,11.17,9.47,10.91,February,Weekday,5,18.0
2025-02-22,Saturday,24.1,77.4,Pleasant,8.29,11.17,11.32,February,Weekend,5,18.0
2025-02-23,Sunday,26.4,80.3,Cloudy,8.68,8.29,13.4,February,Weekend,3,18.0
2025-02-24,Monday,26.1,76.1,Cloudy,9.87,8.68,9.8,February,Weekday,4,18.0
2025-02-25,Tuesday,25.7,77.2,Pleasant,9.36,9.87,10.46,February,Weekday,4,18.0
2025-02-26,Wednesday,26.4,75.9,Cloudy,10.94,9.36,9.73,February,Weekday,5,18.0
2025-02-27,Thursday,30.0,75.7,Cloudy,11.48,10.94,9.47,February,Weekday,5,18.0
2025-02-28,Friday,25.3,72.2,Pleasant,7.37,11.48,11.17,February,Weekday,4,18.0
2025-03-01,Saturday,30.9,77.5,Cloudy,12.29,7.37,8.29,March,Weekend,4,18.0
2025-03-02,Sunday,25.6,75.6,Pleasant,9.59,12.29,8.68,March,Weekend,4,18.0
2025-03-03,Monday,28.3,86.7,Rainy,10.49,9.59,9.87,March,Weekday,4,18.0
2025-03-04,Tuesday,29.3,84.2,Cloudy,12.51,10.49,9.36,March,Weekday,5,18.0
2025-03-05,Wednesday,30.2,78.3,Cloudy,9.51,12.51,10.94,March,Weekday,2,18.0
2025-03-06,Thursday,30.4,72.7,Cloudy,10.75,9.51,11.48,March,Weekday,3,18.0
2025-03-07,Friday,30.6,71.1,Cloudy,9.72,10.75,7.37,March,Weekday,3,18.0
2025-03-08,Saturday,28.3,82.7,Rainy,10.17,9.72,12.29,March,Weekend,2,18.0
2025-03-09,Sunday,28.1,78.2,Cloudy,10.25,10.17,9.59,March,Weekend,3,18.0
2025-03-10,Monday,30.7,79.4,Cloudy,10.24,10.25,10.49,March,Weekday,3,18.0
2025-03-11,Tuesday,28.6,68.4,Cloudy,9.87,10.24,12.51,March,Weekday,4,18.0
2025-03-12,Wednesday,26.4,81.8,Cloudy,9.83,9.87,9.51,March,Weekday,5,18.0
2025-03-13,Thursday,26.7,79.6,Cloudy,9.15,9.83,10.75,March,Weekday,4,18.0
2025-03-14,Friday,27.2,71.8,Cloudy,10.09,9.15,9.72,March,Weekday,3,18.0
2025-03-15,Saturday,30.0,75.1,Cloudy,11.85,10.09,10.17,March,Weekend,4,18.0
2025-03-16,Sunday,29.3,78.9,Cloudy,12.16,11.85,10.25,March,Weekend,5,18.0
2025-03-17,Monday,30.4,78.0,Cloudy,8.95,12.16,10.24,March,Weekday,3,18.0
2025-03-18,Tuesday,28.1,76.3,Cloudy,8.64,8.95,9.87,March,Weekday,3,18.0
2025-03-19,Wednesday,29.3,77.4,Cloudy,11.22,8.64,9.83,March,Weekday,5,18.0
2025-03-20,Thursday,30.3,76.7,Cloudy,10.68,11.22,9.15,March,Weekday,4,18.0
2025-03-21,Friday,28.4,78.8,Cloudy,12.07,10.68,10.09,March,Weekday,5,18.0
2025-03-22,Saturday,29.9,85.5,Cloudy,12.08,12.07,11.85,March,Weekend,4,18.0
2025-03-23,Sunday,27.7,65.4,Cloudy,12.11,12.08,12.16,March,Weekend,5,18.0
2025-03-24,Monday,28.3,77.1,Cloudy,9.51,12.11,8.95,March,Weekday,3,18.0
2025-03-25,Tuesday,28.2,79.3,Cloudy,10.24,9.51,8.64,March,Weekday,4,18.0
2025-03-26,Wednesday,26.6,80.0,Cloudy,9.26,10.24,11.22,March,Weekday,4,18.0
2025-03-27,Thursday,30.0,76.7,Cloudy,10.39,9.26,10.68,March,Weekday,3,18.0
2025-03-28,Friday,28.1,69.9,Cloudy,9.8,10.39,12.07,March,Weekday,2,18.0
2025-03-29,Saturday,29.0,80.4,Cloudy,10.42,9.8,12.08,March,Weekend,5,18.0
2025-03-30,Sunday,30.0,87.4,Cloudy,10.7,10.42,12.11,March,Weekend,4,18.0
2025-03-31,Monday,29.9,71.2,Cloudy,9.74,10.7,9.51,March,Weekday,3,18.0
2025-04-01,Tuesday,32.3,83.3,Hot,12.59,9.74,10.24,April,Weekday,4,18.0
2025-04-02,Wednesday,30.8,77.4,Cloudy,12.81,12.59,9.26,April,Weekday,5,18.0
2025-04-03,Thursday,30.2,78.8,Cloudy,10.23,12.81,10.39,April,Weekday,2,18.0
2025-04-04,Friday,30.8,73.9,Cloudy,10.47,10.23,9.8,April,Weekday,3,18.0
2025-04-05,Saturday,27.6,77.5,Cloudy,10.83,10.47,10.42,April,Weekend,3,18.0
2025-04-06,Sunday,28.1,85.8,Rainy,12.75,10.83,10.7,April,Weekend,5,18.0
2025-04-07,Monday,28.4,82.2,Cloudy,10.51,12.75,9.74,April,Weekday,4,18.0
2025-04-08,Tuesday,29.0,88.0,Cloudy,12.36,10.51,12.59,April,Weekday,5,18.0
2025-04-09,Wednesday,31.8,85.3,Hot,11.86,12.36,12.81,April,Weekday,3,18.0
2025-04-10,Thursday,29.2,81.7,Cloudy,9.65,11.86,10.23,April,Weekday,3,18.0
2025-04-11,Friday,30.2,88.2,Cloudy,12.13,9.65,10.47,April,Weekday,4,18.0
2025-04-12,Saturday,33.6,81.8,Hot,14.21,12.13,10.83,April,Weekend,4,18.0
2025-04-13,Sunday,30.3,83.7,Rainy,13.06,14.21,12.75,April,Weekend,5,18.0
2025-04-14,Monday,32.5,78.2,Hot,13.67,13.06,10.51,April,Weekday,4,18.0
2025-04-15,Tuesday,29.1,80.0,Cloudy,8.75,13.67,12.36,April,Weekday,4,18.0
2025-04-16,Wednesday,30.6,76.2,Cloudy,10.26,8.75,11.86,April,Weekday,4,18.0
2025-04-17,Thursday,29.1,84.7,Rainy,10.58,10.26,9.65,April,Weekday,5,18.0
2025-04-18,Friday,30.3,73.9,Cloudy,11.58,10.58,12.13,April,Weekday,5,18.0
2025-04-19,Saturday,32.7,83.7,Rainy,12.06,11.58,14.21,April,Weekend,2,18.0
2025-04-20,Sunday,27.5,78.9,Cloudy,8.09,12.06,13.06,April,Weekend,2,18.0
2025-04-21,Monday,31.9,85.7,Hot,12.29,8.09,13.67,April,Weekday,5,18.0
2025-04-22,Tuesday,31.5,83.7,Rainy,12.1,12.29,8.75,April,Weekday,5,18.0
2025-04-23,Wednesday,29.8,89.0,Rainy,12.6,12.1,10.26,April,Weekday,3,18.0
2025-04-24,Thursday,28.1,83.6,Rainy,10.27,12.6,10.58,April,Weekday,2,18.0
2025-04-25,Friday,31.1,72.1,Hot,11.23,10.27,11.58,April,Weekday,4,18.0
2025-04-26,Saturday,29.9,79.6,Cloudy,12.43,11.23,12.06,April,Weekend,5,18.0
2025-04-27,Sunday,31.5,74.1,Hot,13.17,12.43,8.09,April,Weekend,6,18.0
2025-04-28,Monday,31.0,77.4,Hot,10.82,13.17,12.29,April,Weekday,5,18.0
2025-04-29,Tuesday,34.2,87.6,Rainy,13.59,10.82,12.1,April,Weekday,4,18.0
2025-04-30,Wednesday,30.5,83.2,Cloudy,10.03,13.59,12.6,April,Weekday,3,18.0
2025-05-01,Thursday,30.0,76.5,Cloudy,10.94,10.03,10.27,May,Weekday,4,18.0
2025-05-02,Friday,32.4,74.9,Hot,11.0,10.94,11.23,May,Weekday,4,18.0
2025-05-03,Saturday,32.4,80.2,Hot,12.07,11.0,12.43,May,Weekend,3,18.0
2025-05-04,Sunday,34.7,73.9,Hot,15.96,12.07,13.17,May,Weekend,6,18.0
2025-05-05,Monday,33.7,76.6,Hot,14.74,15.96,10.82,May,Weekday,6,18.0
2025-05-06,Tuesday,32.7,81.5,Hot,13.69,14.74,13.59,May,Weekday,5,18.0
2025-05-07,Wednesday,34.9,85.7,Rainy,12.24,13.69,10.03,May,Weekday,3,18.0
2025-05-08,Thursday,29.6,83.0,Rainy,12.38,12.24,10.94,May,Weekday,5,18.0
2025-05-09,Friday,30.7,68.5,Cloudy,11.22,12.38,11.0,May,Weekday,5,18.0
2025-05-10,Saturday,30.1,81.4,Cloudy,12.63,11.22,12.07,May,Weekend,4,18.0
2025-05-11,Sunday,31.2,80.2,Hot,13.37,12.63,15.96,May,Weekend,5,18.0
2025-05-12,Monday,29.2,81.9,Cloudy,10.34,13.37,14.74,May,Weekday,5,18.0
2025-05-13,Tuesday,33.3,87.9,Rainy,13.57,10.34,13.69,May,Weekday,5,18.0
2025-05-14,Wednesday,31.6,69.5,Hot,12.62,13.57,12.24,May,Weekday,5,18.0
2025-05-15,Thursday,29.1,76.8,Cloudy,10.96,12.62,12.38,May,Weekday,4,18.0
2025-05-16,Friday,30.0,82.7,Cloudy,9.62,10.96,11.22,May,Weekday,2,18.0
2025-05-17,Saturday,32.6,71.8,Hot,14.39,9.62,12.63,May,Weekend,4,18.0
2025-05-18,Sunday,33.7,87.0,Rainy,14.3,14.39,13.37,May,Weekend,3,18.0
2025-05-19,Monday,36.0,81.5,Hot,13.49,14.3,10.34,May,Weekday,3,18.0
2025-05-20,Tuesday,37.8,83.8,Rainy,17.47,13.49,13.57,May,Weekday,6,18.0
2025-05-21,Wednesday,32.8,76.7,Hot,15.45,17.47,12.62,May,Weekday,6,18.0
2025-05-22,Thursday,30.0,83.6,Cloudy,13.43,15.45,10.96,May,Weekday,5,18.0
2025-05-23,Friday,27.7,84.8,Cloudy,8.95,13.43,9.62,May,Weekday,4,18.0
2025-05-24,Saturday,32.5,80.6,Hot,13.3,8.95,14.39,May,Weekend,5,18.0
2025-05-25,Sunday,30.4,80.5,Cloudy,13.33,13.3,14.3,May,Weekend,4,18.0
2025-05-26,Monday,31.2,80.6,Hot,10.83,13.33,13.49,May,Weekday,4,18.0
2025-05-27,Tuesday,30.8,74.9,Cloudy,9.52,10.83,17.47,May,Weekday,3,18.0
2025-05-28,Wednesday,31.7,78.4,Hot,11.51,9.52,15.45,May,Weekday,4,18.0
2025-05-29,Thursday,34.1,78.3,Hot,13.55,11.51,13.43,May,Weekday,4,18.0
2025-05-30,Friday,32.3,81.0,Hot,11.51,13.55,8.95,May,Weekday,3,18.0
2025-05-31,Saturday,31.7,84.0,Hot,12.41,11.51,13.3,May,Weekend,4,18.0
2025-06-01,Sunday,28.9,73.6,Cloudy,10.56,12.41,13.33,June,Weekend,4,18.0
2025-06-02,Monday,27.7,78.2,Cloudy,10.45,10.56,10.83,June,Weekday,6,18.0
2025-06-03,Tuesday,30.0,86.2,Cloudy,11.16,10.45,9.52,June,Weekday,5,18.0
2025-06-04,Wednesday,30.9,75.0,Cloudy,13.12,11.16,11.51,June,Weekday,4,18.0
2025-06-05,Thursday,34.5,74.5,Hot,13.52,13.12,13.55,June,Weekday,4,18.0
2025-06-06,Friday,31.3,79.5,Hot,12.33,13.52,11.51,June,Weekday,4,18.0
2025-06-07,Saturday,33.0,82.7,Rainy,13.15,12.33,12.41,June,Weekend,4,18.0
2025-06-08,Sunday,30.0,78.4,Cloudy,10.93,13.15,10.56,June,Weekend,3,18.0
2025-06-09,Monday,28.6,84.9,Cloudy,9.74,10.93,10.45,June,Weekday,4,18.0
2025-06-10,Tuesday,29.1,82.5,Cloudy,7.65,9.74,11.16,June,Weekday,3,18.0
2025-06-11,Wednesday,29.5,82.3,Cloudy,8.92,7.65,13.12,June,Weekday,3,18.0
2025-06-12,Thursday,35.3,80.8,Hot,13.06,8.92,13.52,June,Weekday,5,18.0
2025-06-13,Friday,29.4,89.6,Cloudy,9.02,13.06,12.33,June,Weekday,4,18.0
2025-06-14,Saturday,32.7,76.8,Hot,10.8,9.02,13.15,June,Weekend,2,18.0
2025-06-15,Sunday,29.2,67.7,Cloudy,12.02,10.8,10.93,June,Weekend,4,18.0
2025-06-16,Monday,32.9,85.7,Rainy,13.28,12.02,9.74,June,Weekday,5,18.0
2025-06-17,Tuesday,31.8,75.3,Hot,13.42,13.28,7.65,June,Weekday,5,18.0
2025-06-18,Wednesday,30.7,78.0,Cloudy,12.2,13.42,8.92,June,Weekday,5,18.0
2025-06-19,Thursday,30.9,83.9,Cloudy,12.09,12.2,13.06,June,Weekday,4,18.0
2025-06-20,Friday,29.7,69.2,Cloudy,8.92,12.09,9.02,June,Weekday,3,18.0
2025-06-21,Saturday,31.9,70.9,Hot,12.22,8.92,10.8,June,Weekend,3,18.0
2025-06-22,Sunday,30.1,69.0,Cloudy,12.03,12.22,12.02,June,Weekend,4,18.0
2025-06-23,Monday,28.5,73.0,Cloudy,9.34,12.03,13.28,June,Weekday,4,18.0
2025-06-24,Tuesday,28.4,79.0,Cloudy,11.07,9.34,13.42,June,Weekday,5,18.0
2025-06-25,Wednesday,31.3,79.3,Hot,12.67,11.07,12.2,June,Weekday,5,18.0
2025-06-26,Thursday,34.2,78.0,Hot,12.58,12.67,12.09,June,Weekday,4,18.0
2025-06-27,Friday,31.3,69.4,Hot,9.59,12.58,8.92,June,Weekday,3,18.0
2025-06-28,Saturday,30.8,64.8,Cloudy,10.69,9.59,12.22,June,Weekend,4,18.0
2025-06-29,Sunday,31.6,76.5,Hot,12.5,10.69,12.03,June,Weekend,4,18.0
2025-06-30,Monday,33.6,73.8,Hot,12.82,12.5,9.34,June,Weekday,4,18.0
2025-07-01,Tuesday,30.4,78.3,Cloudy,9.61,12.82,11.07,July,Weekday,3,18.0
2025-07-02,Wednesday,29.2,79.4,Cloudy,10.3,9.61,12.67,July,Weekday,4,18.0
2025-07-03,Thursday,32.2,76.5,Hot,11.61,10.3,12.58,July,Weekday,3,18.0
2025-07-04,Friday,30.9,79.4,Cloudy,10.98,11.61,9.59,July,Weekday,3,18.0
2025-07-05,Saturday,33.1,76.7,Hot,14.45,10.98,10.69,July,Weekend,4,18.0
2025-07-06,Sunday,30.4,78.1,Cloudy,12.78,14.45,12.5,July,Weekend,4,18.0
2025-07-07,Monday,27.6,71.8,Cloudy,8.31,12.78,12.82,July,Weekday,4,18.0
2025-07-08,Tuesday,27.3,74.3,Cloudy,10.37,8.31,9.61,July,Weekday,4,18.0
2025-07-09,Wednesday,33.3,76.0,Hot,11.26,10.37,10.3,July,Weekday,3,18.0
2025-07-10,Thursday,33.4,79.0,Hot,13.39,11.26,11.61,July,Weekday,4,18.0
2025-07-11,Friday,29.6,72.8,Cloudy,11.02,13.39,10.98,July,Weekday,5,18.0
2025-07-12,Saturday,29.2,77.2,Cloudy,10.04,11.02,14.45,July,Weekend,3,18.0
2025-07-13,Sunday,32.9,73.2,Hot,10.12,10.04,12.78,July,Weekend,2,18.0
2025-07-14,Monday,27.8,73.8,Cloudy,7.71,10.12,8.31,July,Weekday,2,18.0
2025-07-15,Tuesday,28.2,78.4,Cloudy,8.37,7.71,10.37,July,Weekday,4,18.0
2025-07-16,Wednesday,31.3,64.1,Hot,11.64,8.37,11.26,July,Weekday,4,18.0
2025-07-17,Thursday,29.2,67.5,Cloudy,11.04,11.64,13.39,July,Weekday,4,18.0
2025-07-18,Friday,30.0,66.4,Cloudy,10.27,11.04,11.02,July,Weekday,5,18.0
2025-07-19,Saturday,29.7,62.0,Cloudy,8.94,10.27,10.04,July,Weekend,1,18.0
2025-07-20,Sunday,30.7,70.2,Cloudy,11.01,8.94,10.12,July,Weekend,4,18.0
2025-07-21,Monday,32.8,77.2,Hot,12.96,11.01,7.71,July,Weekday,6,18.0
2025-07-22,Tuesday,30.2,71.9,Cloudy,10.37,12.96,8.37,July,Weekday,3,18.0
2025-07-23,Wednesday,31.3,74.2,Hot,11.09,10.37,11.64,July,Weekday,4,18.0
2025-07-24,Thursday,25.9,78.5,Pleasant,8.97,11.09,11.04,July,Weekday,3,18.0
2025-07-25,Friday,29.9,79.5,Cloudy,9.42,8.97,10.27,July,Weekday,3,18.0
2025-07-26,Saturday,28.3,72.4,Cloudy,11.11,9.42,8.94,July,Weekend,4,18.0
2025-07-27,Sunday,27.6,79.4,Cloudy,10.88,11.11,11.01,July,Weekend,5,18.0
2025-07-28,Monday,28.2,72.9,Cloudy,11.41,10.88,12.96,July,Weekday,6,18.0
2025-07-29,Tuesday,29.3,68.2,Cloudy,9.46,11.41,10.37,July,Weekday,4,18.0
2025-07-30,Wednesday,31.8,69.2,Hot,12.58,9.46,11.09,July,Weekday,6,18.0
2025-07-31,Thursday,27.3,64.7,Cloudy,8.52,12.58,8.97,July,Weekday,4,18.0
